,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Margate,-43.03,51.8,71,40,19.46
1,West Bay,50.71,56.07,82,20,8.05
2,Rikitea,-23.12,73.55,100,24,7.25
3,Saskylakh,71.97,60.77,84,0,4.83
4,Bethel,60.79,55.4,76,90,11.41
5,Dikson,73.51,49.16,81,36,20.38
6,Hasaki,35.73,73.44,100,90,16.11
7,Fairview,40.81,77.74,69,90,11.41
8,Port Lincoln,-34.72,57.08,92,0,15.68
9,Mobai,7.99,71.57,99,92,5.06
10,Yellowknife,62.45,64.4,55,75,8.05
11,Cape Town,-33.93,42.8,93,20,3.36
12,Port Macquarie,-31.43,50.0,61,0,3.36
13,Taltal,-25.41,54.47,89,0,2.37
14,Longyearbyen,78.22,46.4,75,20,11.41
15,Albany,42.65,75.85,78,75,5.82
16,Kampot,10.62,76.7,94,100,6.8
17,Ilulissat,69.22,57.2,58,75,14.99
18,Aklavik,68.22,46.83,93,90,12.75
19,Belyy Yar,53.6,51.8,93,0,2.59
20,Busselton,-33.64,61.4,97,92,21.56
21,Lavrentiya,65.58,46.64,96,92,4.23
22,Bud,62.91,60.22,93,92,5.82
23,Kaitangata,-46.28,50.24,96,32,4.27
24,Port Elizabeth,39.31,83.14,88,1,8.37
25,Nikolskoye,59.7,55.4,93,20,4.47
26,Bichura,50.59,58.52,99,80,3.33
27,Sola,58.89,66.16,64,0,11.41
28,Katsuura,33.93,75.2,73,75,2.24
29,Kapaa,22.08,85.37,69,75,18.34
30,Oktyabrskiy,55.61,56.8,77,40,11.18
31,Avarua,-21.21,71.6,94,90,10.29
32,Talnakh,69.49,49.52,73,20,11.83
33,Arraial do Cabo,-22.97,63.83,100,48,3.27
34,Carnarvon,-30.97,19.73,69,0,3.71
35,Khandbari,27.38,44.3,66,24,1.59
36,Meulaboh,4.14,76.16,100,76,4.23
37,Punta Arenas,-53.16,35.6,93,75,5.82
38,Comodoro Rivadavia,-45.87,42.8,93,0,1.77
39,Norman Wells,65.28,60.8,82,75,8.05
40,Rio Gallegos,-51.62,33.8,80,0,3.36
41,Port Alfred,-33.59,56.0,93,8,21.72
42,Faanui,-16.48,80.39,99,24,20.89
43,Chuy,-33.69,56.0,80,0,17.92
44,Bagnols-sur-Ceze,44.16,77.0,83,20,3.36
45,Ancud,-41.87,39.98,89,36,4.0
46,Sahuaripa,29.05,69.77,98,88,2.33
47,Evensk,61.92,52.85,100,92,11.27
48,Poindimie,-20.93,70.22,100,12,6.85
49,Esperance,10.24,80.6,88,40,11.41
50,Isangel,-19.55,72.74,100,0,9.75
51,Manavalakurichi,8.13,77.0,88,75,6.93
52,Hermanus,-34.42,35.66,100,32,2.77
53,Ahipara,-35.17,56.27,99,92,14.18
54,Bang Saphan,11.21,77.0,94,75,12.44
55,Aksu,52.04,57.2,87,0,6.71
56,Alofi,-19.06,77.0,50,40,11.41
57,Hambantota,6.12,77.6,100,56,16.35
58,Santa Maria,-29.69,60.8,82,0,5.82
59,Havelock,34.88,83.89,83,1,9.17
60,Pevek,69.7,36.47,100,80,11.88
61,Muroto,33.37,84.2,62,75,5.82
62,Kodiak,39.95,84.2,66,20,4.7
63,Ushuaia,-54.81,32.0,100,20,8.05
64,Salta,-24.79,65.93,34,0,9.17
65,San Cristobal,-0.39,59.0,67,75,17.22
66,Airai,-8.93,72.74,66,0,2.26
67,Mahebourg,-20.41,71.6,64,75,6.06
68,Barrow,-38.31,56.18,100,92,9.64
69,Saint-Philippe,45.36,79.23,69,20,8.05
70,Bredasdorp,-34.53,46.4,87,80,6.93
71,Bilma,18.69,82.55,49,0,8.37
72,Xiashi,22.12,75.44,97,20,3.83
73,Gizycko,54.04,63.02,84,0,8.25
74,Katobu,-4.94,79.58,96,8,4.61
75,Beyneu,45.32,70.13,50,0,2.89
76,Popondetta,-8.77,72.47,86,56,2.33
77,Nahrin,36.06,61.58,73,20,0.47
78,Castro,-42.48,40.07,100,20,3.89
79,Campbellsville,37.34,80.89,88,90,5.06
80,Samana,0.12,71.6,100,90,5.82
81,Muli,22.62,77.6,86,92,7.02
82,Yar-Sale,66.83,55.55,93,92,12.39
83,Bluff,-23.58,63.56,30,0,4.83
84,Port Blair,11.67,80.21,100,68,20.94
85,Lebu,8.96,49.16,86,68,4.34
86,Atuona,-9.8,76.7,100,44,14.34
87,Homer,59.64,61.75,77,1,14.99
88,Butaritari,3.07,83.18,100,8,7.25
89,Hamilton,43.26,77.77,78,90,4.7
90,Fairbanks,64.84,61.43,55,90,9.17
91,Itaituba,-4.26,82.28,53,12,3.71
92,Torbay,47.66,69.8,83,40,5.82
93,Tucurui,-3.77,78.68,74,64,3.33
94,Chokurdakh,70.62,41.78,88,0,8.3
95,Clyde River,70.47,44.6,70,75,10.29
96,Potosi,-19.59,20.27,65,0,4.27
97,Luderitz,-26.65,54.02,76,0,26.42
98,Lumphat,13.5,71.75,99,92,2.48
99,Mar del Plata,-46.43,35.57,85,0,5.84
100,Upernavik,72.79,42.32,86,92,6.06
101,Thompson,55.74,64.4,93,90,6.93
102,Balkhash,46.84,68.87,100,0,4.38
103,Yumen,40.29,63.02,49,0,5.01
104,Trofors,65.54,62.6,67,20,8.05
105,Pacific Grove,36.62,69.17,37,1,10.29
106,Georgetown,6.8,78.8,88,20,9.17
107,Trinidad,-33.52,61.22,65,20,13.06
108,Alugan,12.22,83.63,90,92,13.67
109,Geraldton,49.72,68.0,56,20,10.29
110,Hobart,-42.88,51.8,71,40,19.46
111,Diego de Almagro,-26.39,55.73,86,0,2.33
112,Boden,65.83,57.2,82,0,3.36
113,Road Town,18.42,83.41,78,20,5.82
114,Ormara,25.21,78.05,97,56,3.22
115,Nanortalik,60.14,43.22,94,80,12.39
116,Kontagora,10.4,69.68,98,92,7.92
117,Codrington,-28.95,57.17,66,0,3.49
118,Scarborough,54.28,60.15,67,88,5.82
119,Sorland,67.67,57.2,87,40,8.05
120,Huilong,28.89,78.5,87,0,2.71
121,Coquimbo,-29.95,57.2,71,0,3.36
122,Maloy,1.0,81.2,74,76,4.79
123,Lyuban,52.8,62.66,86,0,2.89
124,Bambanglipuro,-7.95,67.07,91,0,2.04
125,Claremore,36.31,74.59,94,1,4.12
126,Changli,30.54,78.59,92,68,2.26
127,Vila Franca do Campo,37.72,68.0,77,40,3.36
128,Kijang,35.24,82.4,69,0,9.17
129,Bhinga,27.7,76.34,88,24,7.07
130,Eydhafushi,5.1,80.57,100,64,18.14
131,Rocha,-34.48,56.9,76,0,12.06
132,Rapid Valley,44.06,80.01,37,1,6.93
133,Hithadhoo,-0.6,79.49,100,68,4.27
134,Ribeira Grande,38.52,73.1,100,12,8.93
135,Soto la Marina,23.77,87.41,67,0,8.86
136,Kruisfontein,-34.0,54.47,86,32,19.71
137,New Norfolk,-42.78,51.8,71,40,19.46
138,Hirara,24.8,85.12,83,75,2.24
139,Igarka,67.47,51.77,90,56,15.86
140,Vaini,15.34,69.41,98,100,8.14
141,Mataura,-46.19,48.98,100,68,4.56
142,El Alto,-16.5,44.6,52,75,10.29
143,Saint George,39.45,69.8,73,0,4.7
144,Pilar do Sul,-23.81,53.57,91,68,4.38
145,Yulara,-25.24,42.8,48,0,2.24
146,Arlit,18.74,77.51,78,56,7.52
147,Prachuap Khiri Khan,11.81,75.08,94,92,7.4
148,Jega,12.22,72.74,97,44,3.0
149,Constantine,36.36,68.0,82,0,1.12
150,Provideniya,64.42,50.0,81,90,8.95
151,Yinchuan,38.48,69.41,97,64,4.05
152,Victoria,5.28,77.88,88,75,2.24
153,Havoysund,71.0,46.4,93,75,9.17
154,Bundaberg,-24.87,61.58,100,0,13.67
155,Nome,30.04,80.56,74,1,3.36
156,Hilo,19.71,79.34,65,90,11.41
157,Tasiilaq,65.61,39.2,86,8,9.64
158,Orlovskiy,46.87,72.65,71,8,8.86
159,Lubin,51.4,69.8,52,0,6.93
160,Lianzhou,24.79,79.22,78,0,3.0
161,Cherskiy,68.75,46.64,68,0,4.23
162,Ponta do Sol,-20.63,57.8,81,0,2.82
163,Ongandjera,-17.88,59.87,41,0,11.32
164,Jamestown,-33.21,50.6,87,88,15.9
165,Aljezur,37.31,66.44,92,0,21.83
166,East London,-33.02,58.97,100,0,29.66
167,Feni,23.02,80.48,94,92,10.09
168,Burnie,-41.05,52.85,100,68,27.6
169,Qaanaaq,77.48,38.27,90,80,2.21
170,Saldanha,41.42,58.7,78,0,3.04
171,Novobirilyussy,56.95,50.6,75,0,6.73
172,Walvis Bay,-22.95,56.45,100,0,16.31
173,Lorengau,-2.02,82.1,100,12,2.33
174,Rafaela,-31.25,60.5,74,68,23.62
175,Lezajsk,50.26,59.0,87,0,1.12
176,Malayal,7.21,80.6,88,75,2.24
177,Kavieng,-2.57,82.82,100,44,6.73
178,Cabo San Lucas,22.89,77.99,88,90,16.11
179,Tilichiki,60.47,57.98,94,56,7.14
180,Nioro,13.79,76.7,96,80,8.75
181,Sioux Lookout,50.1,76.33,83,75,3.36
182,Guerrero Negro,27.97,87.05,45,0,8.03
183,Acapulco,16.86,87.8,66,75,6.93
184,Pringsewu,-5.36,71.03,89,0,1.7
185,Muisne,0.61,75.62,86,56,4.83
186,Magadan,59.56,57.2,93,75,8.95
187,Pochutla,15.74,84.94,59,75,8.05
188,Itarema,-2.92,77.69,81,12,15.12
189,Conde,-11.81,74.36,94,92,7.58
190,Tiksi,71.64,52.85,78,0,7.52
191,Loreto,-23.27,77.42,63,44,12.44
192,Havre-Saint-Pierre,50.23,64.4,100,90,3.36
193,Iqaluit,63.75,50.0,71,75,13.87
194,Puerto Ayora,-0.74,78.8,57,20,17.22
195,Caravelas,-17.73,73.91,100,92,23.13
196,Dongsheng,29.72,85.88,79,24,4.56
197,Pisco,-13.71,62.6,82,0,12.75
198,Saint-Pierre,48.95,79.0,57,0,12.75
199,Awjilah,29.14,90.47,31,0,12.77
200,Naze,5.43,73.4,100,75,3.36
201,Xining,36.62,55.46,100,88,3.71
202,San Joaquin,10.59,75.62,98,92,9.53
203,Qaqortoq,60.72,50.0,53,100,5.82
204,Qandala,11.47,80.12,60,0,6.13
205,Gizo,31.8,80.6,69,20,4.7
206,Buzmeyin,38.05,84.2,30,0,6.93
207,Rawson,-43.3,42.41,60,0,10.09
208,Sur,22.57,86.51,81,0,1.59
209,La Ronge,55.1,77.0,47,75,11.41
210,Klaksvik,62.23,50.0,100,80,11.41
211,Kahului,20.89,85.89,48,20,25.28
212,Mecca,21.43,72.92,89,0,2.55
213,Zwedru,6.07,70.76,88,68,8.37
214,Gornozavodsk,58.37,56.81,92,68,2.82
215,Sokolka,52.46,64.37,75,36,9.53
216,Grindavik,63.84,48.54,81,75,19.46
217,Rio Grande,-32.03,56.99,86,0,16.98
218,Nefteyugansk,61.09,60.8,100,90,6.71
219,Tefe,-3.35,80.6,83,20,2.24
220,Gamba,28.28,31.34,89,32,0.58
221,Lata,30.78,55.64,98,8,1.54
222,Komsomolskiy,67.55,52.85,96,92,7.4
223,Negara,-8.36,75.17,92,12,6.73
224,Sunderland,54.91,54.41,76,12,9.17
225,Cockburn Town,21.46,82.55,98,24,17.43
226,Wenling,28.38,83.9,89,0,3.04
227,Ouadda,8.07,68.33,95,80,3.04
228,Vardo,39.62,74.89,74,90,3.27
229,Makakilo City,21.35,86.45,40,20,4.7
230,Naryan-Mar,67.67,46.28,94,12,10.27
231,Jalu,29.03,89.84,31,0,10.76
232,Port Hawkesbury,45.62,69.8,88,1,6.93
233,Sylvania,41.72,78.48,88,90,9.17
234,Nouakchott,18.08,77.15,100,88,9.37
235,Souillac,45.6,67.01,72,0,5.82
236,Bowen,-20.01,68.0,28,0,8.05
237,Dunedin,-45.87,48.62,88,36,3.89
238,Coolum Beach,-26.53,60.14,94,0,4.38
239,Maragogi,-9.01,73.1,90,80,5.73
240,Ambilobe,-13.19,61.31,85,36,6.02
241,Makinsk,52.63,59.42,86,12,2.82
242,Bathsheba,13.22,82.4,74,40,17.22
243,Portland,45.52,93.15,28,40,10.29
244,Aztec,36.82,92.66,5,1,12.75
245,Kunya,12.22,75.2,88,0,4.7
246,Malpe,13.35,78.8,88,75,9.17
247,Chimore,-16.98,68.78,90,0,2.59
248,Miraflores,5.2,52.94,86,12,1.81
249,Kuminskiy,58.67,58.34,94,44,2.48
250,Iguai,-14.76,68.06,95,48,7.07
251,Coahuayana,18.62,81.65,47,12,3.11
252,Saint-Augustin,44.83,66.99,77,40,5.82
253,Yantal,56.85,53.48,67,48,3.22
254,Severo-Kurilsk,50.68,54.65,94,56,3.56
255,Richards Bay,-28.77,59.6,70,0,11.39
256,Sunrise Manor,36.21,108.73,6,1,9.17
257,Vanavara,60.35,51.05,83,0,3.71
258,Anloga,5.79,75.2,88,20,10.29
259,Metapan,14.33,87.8,55,40,3.36
260,Kirakira,-10.46,81.38,100,68,14.07
261,Zhigansk,66.77,65.54,62,0,3.04
262,Alihe,50.57,65.09,96,32,3.49
263,Kaeo,-35.1,56.99,88,92,9.6
264,Kununurra,-15.77,60.8,41,0,1.12
265,Tura,25.52,75.8,95,36,3.04
266,Agadir,30.42,69.8,83,20,4.7
267,Jardim,-21.48,71.48,78,64,8.93
268,Chandur,20.82,76.07,85,100,9.53
269,Tuktoyaktuk,69.44,46.4,87,90,13.87
270,Togur,58.36,49.52,87,36,4.38
271,Mizdah,31.45,74.63,60,20,5.23
272,Nouadhibou,20.93,69.8,88,75,6.93
273,Elban,50.1,72.56,68,56,0.47
274,Tornio,61.12,52.88,77,0,3.36
275,Ambon,47.55,66.2,77,75,6.93
276,Presidencia Roque Saenz Pena,-26.79,79.58,56,92,12.1
277,Verkhnevilyuysk,63.45,62.48,82,48,3.38
278,Lompoc,34.64,73.9,25,1,9.17
279,Lyngdal,58.14,60.8,100,8,9.17
280,Vanimo,-2.67,79.4,100,80,11.1
281,Bodden Town,19.28,86.0,74,20,11.41
282,Sao Filipe,14.9,75.35,100,0,8.03
283,Kamaishi,39.28,71.6,73,75,13.87
284,South Venice,27.05,83.52,79,40,3.0
285,Pascagoula,30.37,78.58,100,1,5.06
286,Hwange,-18.35,57.17,62,0,2.55
287,Pyapon,16.29,77.87,99,80,11.16
288,Camacha,33.08,71.6,73,75,16.11
289,Kangaatsiaq,68.31,44.84,94,100,1.54
290,Bonthe,7.53,75.17,96,92,6.06
291,Puerto Asis,0.51,72.74,91,80,2.59
292,Ust-Tsilma,65.44,48.98,97,80,6.4
293,Constitucion,23.99,75.2,41,90,6.93
294,Gabu,34.78,50.24,100,88,3.04
295,Bourail,-21.57,74.27,60,8,1.77
296,Waupun,43.63,71.02,83,90,2.77
297,Broome,52.47,66.88,88,80,9.17
298,Odienne,9.51,70.22,96,92,3.89
299,Tuatapere,-46.13,47.45,100,92,4.12
300,Muros,42.77,59.0,100,40,2.24
301,Nautla,20.22,82.55,100,0,4.05
302,Kongolo,-5.39,71.93,70,0,0.87
303,Rosarito,4.91,71.3,60,48,2.89
304,Shitanjing,39.23,68.15,79,36,2.48
305,Mackenzie,55.34,82.4,24,1,11.41
306,Poso,-1.4,78.5,100,0,8.41
307,Zambezi,-13.55,56.9,58,0,5.01
308,Krasnaya Gorbatka,55.87,54.2,97,32,7.02
309,Tudela,42.06,70.68,68,20,13.87
310,Buala,-8.15,81.65,87,0,6.4
311,Sita Road,27.03,81.74,80,8,4.23
312,Dingle,11.0,75.62,98,92,9.53
313,Sao Miguel do Araguaia,-13.28,73.82,84,0,2.71
314,Sovetskaya Gavan,48.97,63.65,86,36,7.81
315,Sisimiut,66.94,50.96,92,100,0.81
316,Vostok,46.45,64.37,70,56,2.89
317,Cayenne,4.94,77.0,100,64,9.31
318,Moyale,3.52,57.08,82,0,3.6
319,Te Anau,-45.41,44.48,99,24,3.6
320,San Juan,-31.54,51.23,28,0,9.64
321,Huarmey,-10.07,61.94,73,0,3.78
322,Minsk,53.9,55.4,93,0,2.24
323,Kobryn,52.21,60.95,87,0,2.89
324,Basco,40.33,80.6,69,1,8.05
325,Surgut,61.25,60.8,100,90,6.71
326,Freital,51.02,75.2,36,0,9.17
327,Kuching,1.56,75.2,94,75,1.12
328,Ostrovnoy,68.05,43.4,85,8,9.37
329,Rock Sound,24.9,84.17,98,80,12.66
330,Stabat,3.76,77.0,94,40,2.24
331,Dreux,48.74,69.4,93,90,9.17
332,Flinders,-34.58,53.6,68,0,6.93
333,Westport,53.8,54.74,100,80,9.53
334,Muna,42.14,75.2,73,0,5.82
335,Sumbe,-11.2,66.35,100,68,2.37
336,Peniche,39.36,65.16,77,40,19.46
337,Rincon,32.3,85.66,79,40,4.7
338,Tumbi,7.5,71.21,91,36,7.4
339,Palana,59.08,57.8,92,92,3.27
340,Bundoran,54.48,56.0,100,88,11.54
341,Morros,-2.87,80.6,83,0,12.75
342,Faro,37.02,75.2,53,0,8.05
343,Sri Aman,1.24,73.4,94,24,3.27
344,Seoul,37.57,83.86,100,75,3.36
345,Formosa do Rio Preto,-11.04,73.64,47,0,8.63
346,Beringovskiy,63.05,56.9,91,24,7.25
347,Ulladulla,-35.36,53.6,98,0,6.93
348,Hami,42.84,73.1,44,0,7.36
349,Riohacha,11.54,89.03,68,12,19.15
350,Argentan,48.74,62.6,88,90,16.11
351,Flin Flon,54.77,77.0,53,75,10.29
352,Batticaloa,7.71,81.02,94,76,15.79
353,Port Hardy,50.7,66.2,72,20,5.82
354,Vorukh,39.85,47.63,69,24,0.81
355,Batemans Bay,-35.71,57.08,76,0,6.51
356,Porto Novo,-23.68,60.8,87,75,10.29
357,Horsham,-36.71,50.51,100,92,15.68
358,Marawi,8.0,76.16,82,12,4.23
359,Pocatello,42.87,89.6,9,1,10.29
360,Haines Junction,60.75,56.09,59,80,8.86
361,Neuquen,-38.95,53.6,37,20,6.93
362,Khatanga,71.98,51.23,91,0,4.27
363,Aurangabad,19.87,72.74,93,80,11.27
364,Avera,33.19,77.74,83,1,3.27
365,Leningradskiy,69.38,35.57,98,92,23.85
366,Fallon,46.84,91.4,18,1,11.41
367,Erzin,36.95,81.97,83,40,3.36
368,Morondava,-20.3,63.74,100,0,4.38
369,Santiago del Estero,-27.8,71.03,65,0,7.63
370,Visby,57.64,66.2,88,0,9.17
371,Nagtipunan,16.22,72.92,100,92,1.7
372,Matamoros,25.87,90.55,59,1,13.87
373,La Asuncion,-1.64,49.43,74,44,2.82
374,Santa Marta de Tormes,40.95,59.0,67,0,3.36
375,Faya,18.39,67.03,49,0,4.5
376,Karratha,-20.74,48.08,33,0,3.89
377,Port Moresby,-9.47,80.6,83,20,10.29
378,Dundee,56.46,50.99,87,0,5.82
379,Pribinic,44.61,64.4,93,0,2.24
380,Mineiros,-17.57,72.92,53,0,6.58
381,Sao Felix do Xingu,-6.64,86.78,45,0,5.35
382,Kinshasa,-4.32,74.32,73,20,6.93
383,Lakes Entrance,-37.88,55.37,70,48,14.07
384,Kudal,16.01,71.21,99,92,5.79
385,Pangnirtung,66.15,42.86,95,92,6.8
386,Tocache,-8.19,57.8,90,44,0.81
387,Great Yarmouth,52.61,68.0,88,92,9.17
388,Virginia Beach,36.85,88.14,70,1,4.56
389,Ust-Kuyga,70.0,57.26,73,0,4.79
390,Heihe,50.24,68.0,88,40,8.86
391,Bay Roberts,47.58,69.8,83,40,5.82
392,Mbaiki,3.87,69.05,97,48,2.26
393,Narsaq,60.91,50.0,53,64,5.82
394,Trzcianka,53.04,73.01,44,0,12.88
395,New Milford,40.94,75.07,88,75,8.03
396,Emerald,-23.53,61.49,35,0,4.79
397,Cidreira,-30.17,56.27,89,0,13.96
398,Namatanai,-3.66,79.76,100,68,8.41
399,Kokopo,-4.34,78.32,100,48,5.79
400,Ust-Omchug,61.13,50.24,96,88,3.38
401,Turukhansk,65.8,52.85,89,48,13.67
402,Aden,12.79,81.2,94,32,6.85
403,Lubango,-14.92,55.1,84,0,1.99
404,Hibbing,47.43,77.31,47,1,5.82
405,Ayan,40.67,54.02,76,48,2.21
406,Pincher Creek,49.49,82.4,23,1,13.87
407,Deputatskiy,69.3,52.22,57,0,8.08
408,Trelew,-43.25,42.41,60,0,10.09
409,Rabo de Peixe,37.8,68.0,77,40,3.36
410,Veliki Preslav,43.16,63.11,92,8,2.59
411,Alice Springs,-23.7,46.4,33,0,3.36
412,Yaan,7.38,73.28,94,48,7.36
413,Batagay,67.65,63.47,65,0,4.34
414,Urbano Santos,-3.2,75.71,90,12,12.06
415,Varhaug,58.61,68.0,64,0,11.41
416,Batagay-Alyta,67.8,59.33,53,0,4.05
417,Debre Birhan,9.68,53.75,93,80,2.1
418,Puerto Ayacucho,5.66,75.98,97,92,2.37
419,Lavumisa,-27.31,48.62,96,0,2.59
420,Fortuna,38.18,80.6,88,20,3.36
421,Khorixas,-20.37,47.27,55,0,2.77
422,Conceicao do Mato Dentro,-19.04,64.37,96,92,3.04
423,Taunggyi,20.78,67.79,98,76,2.82
424,Merke,42.87,48.17,83,12,2.04
425,Kambove,-10.88,53.21,63,0,3.0
426,Durazno,-33.38,58.97,66,8,13.33
427,Borgarnes,64.54,50.0,57,40,27.51
428,Monchengladbach,51.2,77.23,44,0,8.05
429,Imbituba,-28.24,57.2,87,0,2.24
430,Fort Nelson,58.81,78.8,34,75,8.05
431,Padang,-0.92,78.14,100,36,1.36
432,Tucdao,11.7,84.35,92,80,17.47
433,Bambous Virieux,-20.34,71.6,64,75,6.06
434,Tual,-5.67,79.58,97,64,16.13
435,Ruteng,-8.61,70.67,93,0,4.12
436,Udala,43.08,66.27,82,75,5.82
437,Barcelona,41.38,80.6,78,20,3.36
438,Bandarbeyla,9.49,78.05,93,8,32.3
439,Makat,47.65,77.24,48,24,9.75
440,Nadym,65.53,57.53,97,92,12.88
441,Dawlatabad,36.41,69.14,57,0,5.28
442,Doha,25.29,96.8,34,0,5.82
443,Muncar,-8.43,75.17,92,12,6.73
444,Mersing,2.43,77.87,96,12,4.34
445,Kieta,-6.22,80.21,96,8,6.02
446,Nishihara,35.74,73.87,94,90,11.41
447,Olden,61.84,52.22,79,76,1.54
448,Rudnogorsk,57.27,52.67,77,8,4.23
449,Changji,32.07,86.42,89,0,4.27
450,Maniitsoq,65.42,45.74,98,92,22.73
451,Auki,12.18,74.45,90,48,5.28
452,Roald,62.58,59.0,93,76,2.24
453,Zyryanka,65.73,54.02,57,0,4.12
454,Ketchikan,55.34,71.35,41,40,12.75
455,Labuhan,-2.54,74.45,88,20,3.04
456,Santa Isabel do Rio Negro,-0.41,79.04,86,32,3.71
457,Ipixuna,-1.76,80.6,83,40,9.17
458,Tucumcari,35.17,96.8,25,1,11.41
459,Adrar,27.87,93.2,20,0,6.93
460,San Policarpo,12.18,83.63,90,92,13.67
461,Sitka,37.17,85.07,66,0,4.61
462,Dryden,49.79,80.6,42,40,12.75
463,Rome,41.89,75.29,78,0,5.82
464,Moree,-29.46,52.4,84,0,4.61
465,Garh Maharaja,30.83,81.74,77,36,9.93
466,Jian,25.65,75.8,95,20,7.25
467,Labytnangi,66.66,55.82,98,92,7.92
468,Farah,32.37,83.45,18,0,11.54
469,Corrente,-17.45,66.44,82,0,5.35
470,Namibe,-15.19,64.28,100,0,6.73
471,Beisfjord,68.38,50.0,93,32,2.24
472,Tabas,33.6,74.72,34,0,4.56
473,Dunmore Town,25.5,84.44,99,12,10.83
474,Ust-Nera,64.57,54.74,61,12,1.77
475,Kang,-23.67,55.55,38,0,6.62
476,Bluefields,12.01,80.6,94,90,4.7
477,Susuman,62.78,49.25,100,92,3.6
478,Nyurba,63.29,65.45,79,8,3.71
479,Salinopolis,-0.61,80.48,95,32,17.13
480,Shimoda,34.7,78.57,94,75,28.86
481,San Jose,15.79,72.38,100,92,2.89
482,Vao,59.1,58.07,74,0,7.25
483,Touros,-5.2,77.24,83,68,14.41
484,Requena,39.49,77.0,65,0,9.17
485,Abu Kamal,34.45,82.19,41,0,12.17
486,Shadegan,30.65,90.52,40,0,11.41
487,Ixtapa,20.71,87.8,62,90,5.82
488,Lodwar,3.12,65.54,78,20,2.33
489,Matagami,9.67,67.7,99,76,2.77
490,Harper,30.3,94.03,33,1,10.29
491,Nazarovo,56.01,49.34,86,0,4.23
492,Eureka,40.8,59.0,93,90,9.17
493,Tsiroanomandidy,-18.77,49.97,78,0,3.11
494,Dharchula,29.85,52.31,96,20,1.36
495,Bosaso,11.28,89.3,80,0,15.97
496,Denizli,37.77,71.6,64,0,4.7
497,Greenville,34.85,78.57,74,1,6.93
498,Kurilsk,45.23,56.9,90,56,12.17
499,Maraa,-1.83,75.35,94,32,2.59
500,Beitbridge,-22.21,65.45,79,44,3.33
501,Burns Lake,54.23,73.46,44,0,5.57
502,Songea,-10.68,51.59,87,0,1.81
503,Dusetos,55.75,61.49,86,36,2.59
504,Isiro,2.77,65.27,100,80,2.21
505,Hovd,63.83,61.92,77,0,12.75
506,Kattivakkam,13.22,82.4,69,75,5.82
507,Okha,53.59,67.07,89,0,3.89
508,Chernyshevskiy,63.01,55.82,75,0,3.6
509,Tayud,10.38,84.2,70,90,13.87
510,Zhanakorgan,43.91,78.5,41,0,11.54
511,Moron,10.49,84.2,51,75,2.59
512,Mutoko,-17.4,55.55,77,0,2.33
513,Talaya,55.79,50.51,84,0,6.4
514,Marquette,46.54,64.56,72,40,5.82
515,Sorong,-0.86,80.84,100,20,8.52
516,Gigmoto,13.78,82.82,99,92,16.87
517,Xam Nua,20.42,68.42,95,80,2.21
518,Myitkyina,25.38,76.88,96,68,1.59
519,The Pas,53.82,77.0,57,75,16.11
520,Coihaique,-45.58,39.2,80,75,3.36
521,Artigas,-30.4,59.6,74,0,12.88
522,Kindersley,51.47,82.4,30,75,16.11
523,Kutum,14.2,62.48,96,44,2.89
524,Baruun-Urt,46.68,65.72,78,0,1.77
525,Okhotsk,59.36,57.62,92,44,3.49
526,Hassleholm,56.16,63.86,93,0,2.24
